flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
SFLAG001,STRIP005,SDRV095,2024-02-06 15:54:15,1455.0,moderate_brake,low,0.98,0.98,0.98,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG154,STRIP107,SDRV174,2024-02-06 08:06:02,363.0,moderate_brake,medium,0.8,0.28,0.54,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG155,STRIP196,SDRV084,2024-02-06 08:37:07,427.0,moderate_brake,high,0.85,0.39,0.62,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG156,STRIP196,SDRV084,2024-02-06 08:42:27,748.0,audio_spike,high,0.75,0.39,0.57,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG157,STRIP155,SDRV023,2024-02-06 20:00:41,1242.0,harsh_braking,medium,0.39,0.89,0.64,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG158,STRIP155,SDRV023,2024-02-06 20:05:20,1520.0,conflict_moment,low,0.72,0.3,0.51,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG159,STRIP080,SDRV049,2024-02-06 22:56:06,367.0,moderate_brake,high,0.79,0.81,0.8,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG160,STRIP080,SDRV049,2024-02-06 23:06:14,975.0,conflict_moment,medium,0.37,0.6,0.48,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG161,STRIP038,SDRV028,2024-02-06 21:40:28,929.0,moderate_brake,medium,0.66,0.96,0.81,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG162,STRIP038,SDRV028,2024-02-06 21:42:47,1067.0,conflict_moment,low,0.67,0.52,0.59,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG163,STRIP032,SDRV086,2024-02-06 19:18:12,793.0,harsh_braking,low,0.64,0.88,0.76,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG164,STRIP032,SDRV086,2024-02-06 19:18:48,828.0,harsh_braking,medium,0.88,0.52,0.7,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG165,STRIP032,SDRV086,2024-02-06 19:28:44,1425.0,harsh_braking,medium,0.53,0.59,0.56,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG166,STRIP092,SDRV198,2024-02-06 21:34:17,257.0,conflict_moment,low,0.64,0.47,0.55,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG167,STRIP092,SDRV198,2024-02-06 21:40:18,619.0,sustained_stress,medium,0.37,0.39,0.38,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG168,STRIP092,SDRV198,2024-02-06 21:44:17,857.0,moderate_brake,medium,0.96,0.44,0.7,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG169,STRIP125,SDRV126,2024-02-06 06:58:02,182.0,moderate_brake,medium,0.32,0.46,0.39,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG170,STRIP125,SDRV126,2024-02-06 07:00:31,332.0,harsh_braking,low,0.68,0.64,0.66,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG171,STRIP125,SDRV126,2024-02-06 07:03:17,498.0,sustained_stress,medium,0.55,0.56,0.56,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG172,STRIP187,SDRV075,2024-02-06 12:51:58,418.0,conflict_moment,low,0.47,0.57,0.52,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG173,STRIP187,SDRV075,2024-02-06 12:55:11,611.0,harsh_braking,low,0.83,0.36,0.59,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG174,STRIP187,SDRV075,2024-02-06 13:11:04,1564.0,conflict_moment,medium,0.8,0.22,0.51,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG175,STRIP114,SDRV016,2024-02-06 12:07:06,427.0,sustained_stress,high,0.69,0.36,0.52,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG176,STRIP114,SDRV016,2024-02-06 12:08:47,528.0,moderate_brake,high,0.82,0.24,0.53,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG177,STRIP114,SDRV016,2024-02-06 12:16:17,978.0,sustained_stress,low,0.9,0.36,0.63,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG178,STRIP141,SDRV025,2024-02-06 13:15:55,656.0,harsh_braking,medium,0.52,0.92,0.72,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG179,STRIP141,SDRV025,2024-02-06 13:27:24,1344.0,conflict_moment,low,0.39,0.34,0.36,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG180,STRIP141,SDRV025,2024-02-06 13:32:06,1626.0,conflict_moment,low,0.65,0.27,0.46,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG181,STRIP113,SDRV016,2024-02-06 18:54:06,247.0,moderate_brake,medium,0.56,0.94,0.75,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG182,STRIP113,SDRV016,2024-02-06 19:09:49,1189.0,harsh_braking,low,0.68,0.42,0.55,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG183,STRIP113,SDRV016,2024-02-06 19:10:30,1230.0,conflict_moment,high,0.79,0.73,0.76,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG184,STRIP115,SDRV093,2024-02-06 19:27:09,429.0,moderate_brake,medium,0.34,0.29,0.32,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG185,STRIP115,SDRV093,2024-02-06 19:38:08,1089.0,sustained_stress,high,0.3,1.0,0.65,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG186,STRIP115,SDRV093,2024-02-06 19:46:42,1602.0,sustained_stress,medium,0.86,0.83,0.84,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG187,STRIP193,SDRV078,2024-02-06 16:34:50,290.0,harsh_braking,low,0.5,0.5,0.5,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG188,STRIP193,SDRV078,2024-02-06 16:39:36,576.0,sustained_stress,high,0.83,0.63,0.73,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG189,STRIP193,SDRV078,2024-02-06 16:46:18,979.0,moderate_brake,high,0.35,0.21,0.28,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG190,STRIP197,SDRV084,2024-02-06 22:38:47,227.0,audio_spike,medium,0.75,0.84,0.79,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG191,STRIP197,SDRV084,2024-02-06 22:50:11,911.0,harsh_braking,high,0.63,0.49,0.56,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG192,STRIP197,SDRV084,2024-02-06 23:09:31,2072.0,audio_spike,low,0.38,0.9,0.64,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG193,STRIP041,SDRV121,2024-02-06 16:34:22,262.0,conflict_moment,low,0.64,0.7,0.67,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG194,STRIP041,SDRV121,2024-02-06 16:43:19,799.0,conflict_moment,medium,0.96,0.66,0.81,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG195,STRIP041,SDRV121,2024-02-06 16:50:21,1222.0,audio_spike,low,0.68,0.24,0.46,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG196,STRIP047,SDRV059,2024-02-06 21:10:52,53.0,sustained_stress,high,0.82,0.78,0.8,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG197,STRIP047,SDRV059,2024-02-06 21:11:41,102.0,conflict_moment,medium,0.4,0.87,0.64,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG198,STRIP047,SDRV059,2024-02-06 21:15:03,304.0,conflict_moment,medium,0.41,0.44,0.42,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG199,STRIP130,SDRV184,2024-02-06 11:26:43,403.0,harsh_braking,high,0.99,0.24,0.61,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG200,STRIP130,SDRV184,2024-02-06 11:26:52,413.0,harsh_braking,low,0.4,0.24,0.32,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG201,STRIP130,SDRV184,2024-02-06 11:30:03,603.0,harsh_braking,low,0.74,0.24,0.49,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG202,STRIP130,SDRV184,2024-02-06 11:31:00,660.0,harsh_braking,medium,0.89,0.61,0.75,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG203,STRIP130,SDRV184,2024-02-06 11:33:12,792.0,moderate_brake,medium,0.67,0.65,0.66,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG204,STRIP153,SDRV096,2024-02-06 17:36:19,379.0,audio_spike,medium,0.38,0.98,0.68,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG205,STRIP153,SDRV096,2024-02-06 17:37:18,439.0,moderate_brake,high,0.32,0.84,0.58,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG206,STRIP153,SDRV096,2024-02-06 17:37:46,466.0,conflict_moment,medium,0.85,0.44,0.65,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG207,STRIP153,SDRV096,2024-02-06 17:41:47,708.0,moderate_brake,low,0.39,0.32,0.35,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG208,STRIP153,SDRV096,2024-02-06 17:51:57,1318.0,harsh_braking,medium,0.79,0.71,0.75,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
